"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"stream_quality_raw[1]",0.0294620631027203,0.0189272163976232,0.575809911931556,-1.10668683734826,-0.333810778499124,0.0290928867289748,0.384800087545184,1.19711278211628,925.517804842028,1.01194155441115
"stream_quality_raw[2]",0.20632779294565,0.396573404194917,0.815567165708916,-1.41337744072306,-0.372217679518529,0.298895078911892,0.817396677331773,1.62405628129443,4.22933703504371,1.35258051832931
"stream_quality_raw[3]",0.01337733259732,0.0784232232054862,0.607020399569049,-1.15239329398474,-0.413228231951149,0.0101485318489937,0.422106185071088,1.20221929563132,59.912466161483,1.03308552868955
"stream_quality_raw[4]",-0.217063190262634,0.0855444204968655,0.627114042789609,-1.52573896051351,-0.618008424567119,-0.192551922583022,0.198777198407148,0.954218602534463,53.7414864605853,1.03437096185915
"stream_quality_raw[5]",-0.0752407260637821,0.0763001714054472,0.59405572133588,-1.28758940396627,-0.462687010395804,-0.0689140535533818,0.326620086207458,1.07559103316915,60.6182422098741,1.02874633169901
"stream_quality_raw[6]",0.0738171909588638,0.225183710860423,0.673865916818924,-1.25211098362739,-0.384610937068784,0.0929044122120945,0.549174164811184,1.31177008540159,8.95515358183223,1.13433964533257
"stream_quality_raw[7]",0.0617911704611567,0.137389372772009,0.614205639331369,-1.16629855257752,-0.32356203270603,0.0719354357057546,0.457588813295151,1.23861016944348,19.9857898969896,1.06186259404351
"stream_quality_raw[8]",0.318560850601265,0.211290138476109,0.665064181845127,-0.961157793803628,-0.124181809464163,0.29389462860403,0.750946762596024,1.67636999873151,9.9076045088429,1.12242827057861
"stream_quality_raw[9]",-0.0302184488388782,0.217558573339184,0.812331338519473,-1.56033685402674,-0.629881550752354,-0.0135405718952453,0.581053784590552,1.45091787415255,13.9416447283639,1.09494450910122
"stream_quality_raw[10]",-0.314090548047224,0.532799965943632,0.949913421546949,-1.84640474109456,-1.01129319611379,-0.477934572223115,0.338130075756938,1.64245043693479,3.17862775426365,1.59616736071046
"stream_quality_raw[11]",0.412424363096731,0.506289194394944,0.919102957368272,-1.5254490229088,-0.196023924642325,0.550644512843176,1.07151194006185,1.94559538181119,3.29557356185867,1.54709562793691
"stream_quality_raw[12]",-0.219428738669068,0.390021733627289,0.814823865091344,-1.65216458585984,-0.809965035718502,-0.302980590328754,0.340737389956641,1.4230803298958,4.36465442760119,1.33720609206659
"stream_quality_raw[13]",-0.181370263255476,0.217637961785989,0.653852652065949,-1.47803802507472,-0.61208902782334,-0.185481083770893,0.255058581675241,1.08480241080735,9.02589920209088,1.13115392976883
"stream_quality_raw[14]",-0.554261500539183,0.828086326988161,1.31302446191249,-2.35233391155496,-1.52195296869981,-0.95132228980242,0.28301235718456,2.1677316320266,2.51416864979127,2.12509357717436
"stream_quality_raw[15]",0.789142379140574,1.09924967403541,1.66775126780353,-2.64324176728746,-0.0625101234403577,1.39200196213809,1.95446121900822,2.86232434770579,2.3018120958709,2.64698762003096
"stream_quality_raw[16]",0.0440328347686742,0.00835624247031305,0.59843683518976,-1.17358625988439,-0.332648722000024,0.046262160435286,0.429368810764529,1.24056802482188,5128.78588329084,1.00035838563905
