"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"stream_quality_raw[1]",0.0943877934350625,0.00665511559957267,0.530072559139735,-0.929189369766096,-0.2643130112395,0.0953404525536192,0.433041056325819,1.17455068220794,6343.94541043667,0.999799102261556
"stream_quality_raw[2]",0.112122106312938,0.00768849490325316,0.553554221372236,-0.998640081200618,-0.257889285232938,0.110189534421189,0.489411001071998,1.17933948549327,5183.67389717659,1.00042920298648
"stream_quality_raw[3]",0.371751690797295,0.00732153159742343,0.54086895399248,-0.693933191321611,0.00744356208789323,0.364108129013083,0.735572198895463,1.439762479935,5457.33011466109,0.999978874906093
"stream_quality_raw[4]",-0.593499164780964,0.00689882538663493,0.550998233765887,-1.70606438050204,-0.959539822511453,-0.580965778214011,-0.231855797917494,0.483656535397589,6378.96336205684,1.00035486992264
"stream_quality_raw[5]",0.11576400198711,0.00650010877156578,0.51965358555309,-0.915774327781615,-0.225963644828083,0.119932084639401,0.458476546075037,1.13134217971358,6391.26180980732,1.00012056417845
"stream_quality_raw[6]",-0.0980607644352402,0.00692099865791978,0.543443017845381,-1.13024004646446,-0.467509076742438,-0.1021694358506,0.260280116930288,0.987442063617524,6165.53115426738,1.00026953635725
"stream_quality_raw[7]",0.172903125806084,0.00698182536404523,0.552097235328016,-0.890817231714233,-0.191171773018013,0.166888753759772,0.543886708467294,1.26063476018806,6253.06843168218,1.00043503859084
"stream_quality_raw[8]",0.638680714386035,0.00700580736425148,0.546035663432748,-0.407793562265068,0.271235653707773,0.627546974837039,0.995544527891034,1.73083204083904,6074.71118408031,1.00003191738358
"stream_quality_raw[9]",-0.587686339400346,0.00968387603143979,0.614670390424611,-1.77556775049596,-1.00689408657037,-0.593995598418525,-0.183118477970913,0.643108557990093,4028.8968056959,1.00004336097882
"stream_quality_raw[10]",-0.288754253258992,0.00842036605333322,0.576266772006828,-1.43417474606754,-0.670900571241027,-0.279584297926811,0.105720276285675,0.812174966049939,4683.65841195659,1.00005464532743
