"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"stream_quality[1]",0.21590315488705,0.294699590762534,0.533091760096553,-0.881076849831835,-0.123743177925272,0.291610125500128,0.588313877910636,1.13311627044599,3.27223792671791,1.55668836631702
"stream_quality[2]",0.225805606726692,0.419382249674233,0.701912567976349,-1.366900553624,-0.210135563230459,0.386744182189762,0.741657382089028,1.26090649408405,2.80121180090449,1.81222625707365
"stream_quality[3]",0.372645635271605,0.556675203056458,0.858353369501019,-1.45616868823893,-0.139125295998854,0.659512738023782,0.980029855943011,1.48687159349671,2.37754354711431,2.40192758026117
"stream_quality[4]",-0.0702901764095543,0.00465264223106562,0.350946388955341,-0.784949718436308,-0.289634179092244,-0.0764905970383784,0.155738983426698,0.624477758794394,5689.60661000502,1.00223126657877
"stream_quality[5]",0.240053505018702,0.41944015871339,0.679826826609902,-1.17531809108132,-0.166441596721693,0.423563997837644,0.723909092237185,1.24057678131406,2.62697886312466,1.96753448954142
"stream_quality[6]",0.141891653946909,0.183663278229536,0.441515094708679,-0.79278889961272,-0.149157236540337,0.149228967664795,0.43372978262635,0.985446269964934,5.77891688608064,1.22603540412544
"stream_quality[7]",0.277797143699984,0.522578527937648,0.819537862851874,-1.42460792384294,-0.235440577278127,0.53660115345221,0.861299556375376,1.40791340194303,2.45943258908826,2.22405835659093
"stream_quality[8]",0.531490964718837,0.535066648418647,0.831745530332422,-1.1809566601337,0.0260697271417939,0.777011951766355,1.10860899089506,1.6941586518869,2.41637975457286,2.30531616951307
"stream_quality[9]",-0.727852218339295,0.967042376170061,1.41412778341961,-2.24897948163758,-1.68306207888982,-1.33392619271897,0.0632152512245307,2.11394569915005,2.13838696786996,3.72180950186249
"stream_quality[10]",-0.474886918758966,0.536888713552316,0.850210840897903,-1.69757819330194,-1.05801966719256,-0.709510988699566,0.0526776245938117,1.41084724998771,2.50775282247657,2.14356578803089
"stream_quality[11]",-0.0717618823571912,0.0978419383882592,0.382311898947788,-0.802764683272224,-0.328406211539386,-0.076846177036005,0.177092607830423,0.704802985934919,15.2681189201833,1.07790817489491
"stream_quality[12]",-0.39945656435336,0.429169957585818,0.702529028574698,-1.47580730226837,-0.891404990182808,-0.560597949073522,0.0487532001725475,1.16664551365845,2.67959970707256,1.91408848301953
"stream_quality[13]",-0.516174194801176,0.628170776079396,0.947874214922219,-1.72052864383187,-1.16384927566634,-0.856173917563956,0.0709124759467338,1.46869919784022,2.27691051245831,2.72493125360408
"stream_quality[14]",-0.63707105307418,0.761486591232441,1.13678105175359,-2.03206045319473,-1.40185814280693,-1.05689533420577,0.0497611296502611,1.7670621121436,2.22858463142209,2.97626991762234
"stream_quality[15]",0.0157852146034342,0.0563146485480025,0.361156766515128,-0.700405945478952,-0.227963041379118,0.018335630642991,0.248594470333792,0.736266316577631,41.1290573579298,1.03544576139866
"stream_quality[16]",-0.280090608906332,0.252173367249466,0.530677470182447,-1.24594587476118,-0.632893957612855,-0.300391718260118,0.0247858464921448,0.89050471209891,4.42856338585572,1.33744545346109
"stream_quality[17]",-0.573341387182267,0.774447282771441,1.14485089494775,-1.91936252795256,-1.35650919221791,-1.0380652708666,0.0951761729057282,1.74919170673182,2.18531544537169,3.25554815025698
"stream_quality[18]",0.0277130652499666,0.00585610656175012,0.370636217225348,-0.697764303595256,-0.211496405996306,0.0126406779673814,0.266898791471199,0.78074074035299,4005.69398027562,1.00394972082182
"stream_quality[19]",-1.10607130993824,1.51062236807732,2.1777885102316,-3.2359689169474,-2.53634882432082,-2.11880664370835,-0.223950617882042,3.12424506809126,2.07835428978799,4.88183146900069
