site,date,year,agency,Latitude,Longitude,Wet or dry in 2016,Burned (B) vs. unburned (U),trout.present..absent,Max.depth.m,Bankfull.width.m,Pool.riffle.ratio,Average.wetted.width.m,Average.Wetted.Width.SE.m,Average.stream.depth.m,Average.stream.depth.SE.m,Average.sediment.depth.m,Average.sediment.depth.SE.m,Average.current.velocity.m.s,Average.current.velocity.SE.m.s,Q estimate (m3/s),Average.canopy.cover,Average.canopy.cover.SE,Average.substr.size.Wentworth.scale,Average.substr.size.Wentworth.scale.SE,Conductivity.uS.cm.,Conductivity.uS.cm.SE,Specific.conductance.uS.cm,Specific.conductance.uS.cm.SE,pH,pH.SE,Point.DO.average.HOBO,Point.DO.mg.L.SE,Point.Maximum.DO.mg.L,Point.Minimum.DO.mg.L,Point.Avg.temp.C.multimeter,Point.temp.C.SE,Point.Max.temp.C,Point.Min.Temp.C,Average.Nitrate.ug.L.,Average.Nitrite.ug.L,Average.Ammonium.ug.L,Average.SRP.ug.L,CPOM.leaves.Organic.g.m2.dry.wt.or.AFDM,FPOM.g.m2.dry.wt.or.AFDM,Average.chlorophyll.a.mg.m2.,Chlorophyll.a.SE..mg.m2,Average.AFDM..mg.cm2,AFDM.SE...mg.cm2,Average.Benthic.inorganic.sediment..mg.cm2,Benthic.inorganic.sediment.SE...mg.cm2,propcan,Long.term.Avg.dissolved.oxygen..mg.L...HOBO,Long.term.HOBO.Avg.dissolved.oxygen..mg.L..SE,Long.term.Max.dissolved.oxygen..mg.L,Long.term.Min.dissolved.oxygen..mg.L.,Long.term.Avg.Temp...C.,Long.term.HOBO.Avg.Temp....C..SE,Long.term.HOBO.Max.Temp....C.,Long.term.HOBO.Min.Temp...C.,HOBO.Start.Time.DO..Date..Hour.,HOBO.End.Time.DO..Date..Hour.,HOBO.Total.Time.DO..Days.,HOBO.Start.Time.Temp..Date..Hour.,HOBO.End.Time.Temp..Date..Hour.,HOBO.Total.Time.Temp..Days.,stream.to.bankfull.width,Stream,Length.m,sum.MeanWidth..m,sum.MeanDepth,MeanWidth.m,MeanDepth.m,MaxDepth.m,ShelterValue,PctCover,PctOpen,PctUnderCtBnk,Boulder,SWD,LWD,Root,TerrVeg,AqVeg,Bubble,Bedrock,A..0...1.99.inch.trout.,B..2.3.99.inch.trout.,C..4.5.99.inch.trout.,D..6.7.99.inch.trout.,E..8.9.99.inch.trout.,F..10.11.99.inch.trout.,G..12.13.99.inch.trout.,H..14.15.99.inch.trout.,total.trout,trout.present..absent,md.comments,Sitetime,pool,mixed,riffle,Basin,BurnUn,BConDow,Fire,UpDown,Season,Year,SeaYR,Wet.or.dry.in.2016,WDCBD,disturb,Vel,,Total inverts,Baetidae,Baetis,Callibaetis,Paraleptophlebia,Baetidae+Leptophlebiidae,Chironomid,Mayflies+chironomids,Biotic index,Thermal index,Slope 16-17,elevation 16-17 (m),Catchment area (m2),Sitetime,Wet or dry in 2016,Burned (B) vs. unburned (U),"Within fire footprint (B), downstream of fire footprint (D), outside of fire C, burned debris flow (DBF)",Time since last fire,Extent of last fire (% basin burned),Name of last fire,Distance from Survey Point upstream to Fire Permeter (m){Measurement taken following stream corridor upstream until fire perimeter hit},Distance from Catchment Boundary from Closest Fire Scar Boundary (m) {birds flight}, % basin in fire footrpint last 10 yrs,% of riparian burned M-H severity,Study site  ,% wi footprint, % basin burned at M-H severity,% riparian burned at M-H severity,% upland burned at M-H severity,"% basin burned L, M, H","% of rip burned L,M, H","prop Up burned L, M, H"
Camuesa Creek_2017,6/29/17,2017,UCSB,34.5669,-119.713,D,B,A,0.42,11,0.6,1.07,0.15,0.05,0.01,0.06,0.03,0.03,0,0.001605,12.5,3.78,-4.94,0.21,1103,12,994,19.5,8.38,0.07,9.26,0.555,9.81,8.7,30.8,0.5,31.3,30.3,11.6,NA,0,36.89,0.193,NA,5.99,2.03,0.649,0.16,3.443,1.15,0.125,5.16,0.366,8.32,0,23.1,0.09,35.2,12.6,6/29/17 14:00,8/7/17 0:00,38,,,NA,0.097272727,Camuesa Creek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,A,Not snorkeled…dry based on USFS report,Cam0617,2.44,1.27,0.43,2,2,2,3,1,2,2017,22017,D,D2,Rey,0.03,Cam0617,298.39,237.9,0,237.9,0,237.9,34.95,272.8,8.405405405,20.17333333,1.7,658,2905900,Cam0617,D,B,B,1,100,Rey,0,0,100,99,Camuesa Creek,100,95.7,99,95.6,99.1,100,99.1
Coche_2017,10/4/17,2017,BT,34.678763,-119.736066,D,B,A,0.5,2,1,1,0.19,0.11,0.01,0.01,0.01,0.2,0.04,0.022,95.1,0.65,-6.33,0.23,687.5,1.5,n/a,n/a,8.71,0.02,n/a,n/a,n/a,n/a,14.06,0.39,15.4,12.3,1.4,0.84,10.5,2.48,2.46,1.18,0.66,0.19,0.14,0.05,0.41,0.24,0.950980392,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,,,NA,0.49886929,Coche,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,A,unable to locate site in PSMFC data,Coc1017,2.11,2.15,3.43,2,2,2,2,1,3,2017,32017,D,D2,DB,0.2,Coc1017,2966.41,62.4,31.2,0,26.7,89.1,307.33,396.4,2.247797105,16.44039732,5.44,954,4747900,Coc1017,D,B,B,10,100,Zaca,0,0,100,69,Coche,100,79.2,69.4,79.9,89.1,91.8,88.9
Davy Brown_2017,6/14/17,2017,BT,34.760014,-119.953721,D,U,A,0.5,4.5,0.6,3.05,0.57,0.15,0.02,0.03,0.01,0.17,0.03,0.077775,58.73,3.26,-4.07,0.34,1018,1,n/a,n/a,8.52,0.03,8.51,0.01,10.21,6.92,21.5,0.22,22.1,20.8,0.49,3.5,6.16,5.43,8.1,1.24,12.79,2.29,4.21,1.09,19.07,5.2,0.587344029,8.52,0.01,10.21,6.92,17.32,0.03,27.75,7.62,6/7/17,6/23/17,18,6/6/17,12/1/17,179,0.684371808,Davy Brown,48.1584,13.4112,1.6764,2.68224,0.33528,0.640048766,NA,40,60,NA,25,13,2,0,10,38,8,4,0,0,0,0,0,0,0,0,0,A,"No trout observed in 100 m reach but many trout observed in larger sampling reach but there are overlapping sites within the reach (i.e., Fir Canyon and Davy Brown). Confirmed using BT report that no O. mykiss observed in SWAMP reach.",DBr0617,3.17,2.78,3.29,1,1,1,1,1,2,2017,22017,D,D1,DU,0.17,DBr0617,4011.07,180.5,46.8,0,6.5,187,1834.42,2021.4,5.590480984,17.68161915,2.5,606,11769900,DBr0617,D,U,C,24,86.9,Marre,,1,0,0,Davy Brown,0,0,0,0,0,0,0
Fir Canyon_2017,8/3/17,2017,BT,34.7682,-119.946621,D,U,A,0.4,3.5,3,2.03,0.29,0.1,0.01,0.06,0.01,0.11,0.03,0.02233,27.27,3.63,-5.08,0.46,1097.5,0.5,n/a,n/a,8.52,0,7.85,0.09,10.55,4.74,21.6,0.95,28.1,20,2.59,0.98,7.21,4.13,4.98,0.92,21.89,3.83,5.8,1.93,16.42,2.8,0.272727273,7.85,0.09,10.55,4.74,21.19,0.05,31.84,10.81,8/2/17,8/3/17,2,8/2/17,9/29/17,59,0.586764899,Fir Canyon,17.3736,6.5532,0.79248,2.1844,0.26416,0.45717769,NA,31.66666667,68.33333333,NA,10,0,0,0,6.666666667,70,13.33333333,0,0,0,0,0,0,0,0,0,0,A,"No trout observed in 100 m reach but many trout observed in larger sampling reach but there are overlapping sites within the reach (i.e., Fir Canyon and Davy Brown)",Fir0817,3.53,2.93,3.14,1,1,1,1,1,2,2017,22017,D,D1,DU,0.11,Fir0817,5590.33,1839.1,49.4,1574.1,0,1839.1,1573.35,3412.5,6.400431937,20.15000538,2.48,563,22689300,Fir0817,D,U,C,24,77.33,Marre,,1,0,0,Fir Canyon,0,0,0,0,0,0,0
Horse_2017,7/26/17,2017,BT,34.840102,-120.016157,D,B,A,0.3,3.7,0.33,1.9,0.18,0.08,0.01,0,0,0.21,0.03,0.03192,21.12,3.75,-5.68,0.12,1454.5,2.5,n/a,n/a,8.88,0.1,8.26,0.01,9.55,7.13,25.69,1.16,31.1,19.5,57.19,1.61,7.14,2.17,1.02,0.23,7.73,2.74,1.94,0.61,6.46,2.14,0.211229947,8.26,0.01,9.55,7.13,NA,NA,NA,NA,7/19/17,7/26/17,8,,,NA,0.520921544,Horse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,A,unable to locate site in PSMFC data,Hor0717,2.61,2.04,2.88,1,2,2,5,1,2,2017,22017,D,D2,DB,0.21,Hor0717,1274,431.3,196.7,53.9,0,431.3,429.27,860.6,5.919311478,20.0578803,1.41,344,64546400,Hor0717,D,B,B,8,100,La Brea,0,0,100,88,Horse,100,86.7,87.5,92.3,94.1,95.5,100
Indian Creek_2017,7/6/17,2017,UCSB,34.5465,-119.642,D,B,A,0.4,17.5,3,2.01,0.23,0.08,0.01,0.2,0.03,0.03,0,0.004824,8.56,2.84,-2.62,0.22,1431,18.5,1297,3.5,8.1,0.18,9.94,3.305,13.24,6.63,30.4,0.9,31.3,29.5,10.3,NA,1.96,17.67,0.042,NA,21.26,3.88,2.81,0.464,4.909,0.807,0.0856,7.97,0.225,11.12,5.69,22.7,0.06,33.8,12.2,7/6/17 13:00,9/4/17 0:00,59,,,NA,0.114857143,Indian Creek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,A,Not snorkeled… USFS report indicated it was to shallow to snorkel - assume Absent??,Ind0717,3.47,2.85,2.31,2,2,3,4,3,2,2017,22017,D,D3,Down,0.03,Ind0717,3881.56,1666.7,0,1602.2,0,1666.7,1983.71,3650.4,7.361275399,20.85008311,1.1,475,11658500,Ind0717,D,B,D,10,98.7,Zaca/Rey,941.5,0,99,1,Indian Creek Lower,"78.9, 29.4",90.5,88.2,90.7,94.6,95,94.6
Manzana - Nira_2017,6/29/17,2017,BT,34.771166,-119.939524,D,B,A,0.6,7,0.33,4.6,0.27,0.17,0.02,0.03,0,0.44,0.08,0.34408,65.69,3.63,-5.25,0.23,840,7,n/a,n/a,8.29,0.04,7.33,0.04,10.89,2.93,19.25,1.16,25.6,14.5,0.42,3.22,8.96,1.71,1.32,0.4,10.85,3.09,1.25,0.35,3.16,1.03,0.656862745,7.33,0.04,10.89,2.93,19.87,0.03,27.36,13.14,6/26/17,6/29/17,4,6/6/17,9/29/17,116,0.659971306,Manzana - Nira,21.0312,6.096,0.67056,6.096,0.67056,1.219140506,NA,35,65,NA,20,5,0,30,5,20,0,10,0,0,0,0,0,0,0,0,0,A,"only one pool snorkel surveyed in 100 m SWAMP reach. Also, can't dtermine snorkel reach length due to it overlapping with mulitple SWAMP sites (i.e., Nira and Portero)",MNir0617,2.63,2.22,3.18,1,2,3,2,3,2,2017,22017,D,D3,Down,0.44,MNir0617,2108.77,291.4,268.3,0,0,291.4,655.77,947.2,4.839073356,18.09470657,1.51,543,90846900,MNir0617,D,B,D,10,64.2,Zaca,1993,0,64,27,Manzana - Nira,64.2,33.7,26.6,34.1,52.3,52.9,52.3
Manzana - Potrero_2017,7/5/17,2017,BT,34.772681,-119.945349,D,B,A,0.6,9.3,1.67,4.73,0.64,0.13,0.02,0.05,0.01,0.12,0.03,0.073788,24.17,3.19,-4.72,0.19,873,7,n/a,n/a,8.27,0.04,2.88,0.05,8.34,0,21.68,1.17,28.9,16.1,0.42,3.43,10.43,4.44,18.97,1.8,9.67,1.56,1.19,0.43,6.02,2.26,0.24171123,2.88,0.05,8.34,0,19.83,0.01,25.19,14.22,6/29/17,7/6/17,8,6/6/17,9/29/17,116,0.508308895,Manzana - Potrero,55.1688,13.4112,1.40208,3.3528,0.35052,0.975312405,NA,28.75,71.25,NA,32.5,3.75,0,7.5,3.75,45,0,7.5,0,0,0,0,0,0,0,0,0,A,"Can't determine snorkel reach length due to it overlapping with mulitple SWAMP sites (i.e., Nira and Portero)",MPot0717,3.92,3.27,3.76,1,2,3,2,3,2,2017,22017,D,D3,Down,0.12,MPot0717,15806.96,3614.7,1570.7,515,0,3614.7,8782.35,12397,5.996314507,20.26473536,1.6,529,113567000,MPot0717,D,B,D,10,52.5,Zaca,1162,0,51,26,Manzana - Potrero,56.8,29.6,26.1,29.8,46.4,52,46.1
Mono Creek_2017,7/5/17,2017,UCSB,34.5417,-119.6251,D,B,A,0.53,22,1.9,3.57,0.36,0.14,0.02,0.23,0.08,0.05,0.01,0.02499,33.42,3.73,-4.17,0.25,1795,51,1802,45.5,7.48,0.06,5.9,0.325,6.22,5.57,24.85,2.85,27.7,22,12.7,NA,0,13.64,0,NA,10.22,2.03,3.203,0.545,5.119,1.062,0.3342,7.62,0.067,8.94,6.16,17.7,0.01,19.9,15.9,7/5/17 13:00,9/5/17 0:00,61,,,NA,0.162272727,Mono Creek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,A,Not snorkeled… USFS report indicated it was to shallow to snorkel - assume Absent??,Mon0717,2.94,2.29,2.02,2,2,3,4,3,2,2017,22017,D,D3,Down,0.05,Mon0717,1178.31,392.5,5.4,362.9,0,392.5,560.03,952.5,7.262884128,20.99635813,1.1,459,220284800,Mon0717,D,B,D,10,92.94,Zaca/Rey,2176.5,0,93,1,Mono Creek,"88.1, 6.0",77.7,75.4,77.8,88.9,89.2,88.8
Munch_2017,6/1/17,2017,BT,34.757563,-119.953764,D,U,A,0.5,3.4,0.6,2.73,0.23,0.11,0.01,0.07,0.01,0.19,0.05,0.057057,69.43,2.07,-3.78,0.38,968,n/a,n/a,n/a,8.69,n/a,8.63,0.01,9.72,7.71,18.4,0.26,19.3,17.4,28.7,11.41,28.7,11.16,40.77,1.9,12.28,2.35,3.04,0.81,13.22,2.85,0.6942959,8.64,0.01,9.72,7.71,18.38,0.02,25.65,11.05,5/23/17,6/7/17,13,5/23/17,9/29/17,130,0.799786724,Munch,20.574,12.0396,1.40208,2.40792,0.280416,0.487656202,NA,34,66,NA,38,6,0,1,1,44,10,0,0,0,0,0,0,0,0,0,0,A,,Mun0617,3.48,2.86,3.46,1,1,1,1,1,2,2017,22017,D,D1,DU,0.19,Mun0517,6597.93,1065.6,979.5,0,10.8,1076.4,2529.52,3605.9,5.610167658,16.69175029,4.13,619,8493200,Mun0617,D,U,C,24,73.18,Marre,,1,0,0,Munch,0,0,0,0,0,0,0
Rancho Nuevo Creek_2017,7/10/17,2017,UCSB,34.6892,-119.4114,D,B,A,0.31,17,3,1.83,0.69,0.01,0,0.05,0.01,0.01,0.001,0.000183,12.48,4.64,-3.05,0.31,3931,130.5,3831,94,7.24,0.3,6.2,0.925,7.12,5.27,26.4,0.45,26.8,25.9,14.3,NA,0,2.48,0.013,NA,9.65,1.89,1.123,0.204,8.131,1.806,0.1248,7.52,0.081,9.26,5.54,20.8,0.04,28.9,14.4,7/10/17 13:00,8/29/17 0:00,49,,,NA,0.107647059,Rancho Nuevo Creek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,A,Not snorkeled…dry based on USFS report,Ran0717,3.13,3.65,2.32,5,2,2,2,1,2,2017,22017,D,D2,DB,0.01,Ran0717,6053.76,553.8,0,553.8,0,553.8,526.88,1080.6,7.896980462,20.81043478,0.6,1103,62181500,Ran0717,D,B,B,10,100,Zaca,0,0,100,90,Rancho Nuevo Creek,99.9,83.9,90,83.5,95.2,98.1,95
Santa Barbara Creek_2017,6/26/17,2017,UCSB,34.7635,-119.5709,D,B,A,0.13,13,1,3.06,0.28,0.1,0.01,0.09,0.02,0.11,0.02,0.03366,12.3,3.02,-4.05,0.3,2186,3.5,2198,13,7.88,0.13,12.34,1.535,13.87,10.8,24.7,0.5,25.2,24.2,211.7,NA,0,0.94,0,NA,41.5,7.83,2.172,0.245,8.049,1.319,0.123,8.38,0.077,11.8,6.09,18.3,0.023,24.7,14,6/27/17 14:30,8/30/17 0:00,63,,,NA,0.235384615,Santa Barbara Creek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,A,Not snorkeled…but USFS report indicates it was snorkeld but fish Absent,Sba0617,2.98,2.24,3.3,5,2,2,2,1,2,2017,22017,D,D2,DB,0.11,Sba0617,3129.41,1161.3,1032.3,96.8,0,1161.3,1527.26,2688.5,5.85018984,18.41254595,5.7,1034,36599200,Sba0617,D,B,B,10,100,Zaca,0,0,100,62,Santa Barbara Creek,100,61.1,62,61,78,83.1,77.7
Tule Creek_2017,8/24/17,2017,UCSB,34.5608,-119.2761,D,U,P,0.45,10.2,3,1.57,0.3,0.1,0.01,0.1,0.03,0.02,0.01,0.00314,36.63,3.37,-4.58,0.25,700,26.5,777,3,7.52,0.06,4.85,0.65,5.5,4.2,19.8,1.9,21.7,17.9,18.6,NA,0,1.87,0.971,NA,20.66,5.73,3.282,1.314,4.903,0.944,0.3663,5.52,0.369,7.26,2.98,17.3,0.08,21.2,15.6,8/24/17 12:00,8/29/17 0:00,5,,,NA,0.153921569,Tule Creek,37.55,16.1,1.49,2.683333333,0.248333333,0.43,1.333333333,45.83333333,54.16666667,0,3,14.16666667,0,0,2,25,0,1.666666667,0,0,2,0,0,0,0,0,2,P,,Tul0817,2.8,2.03,1.89,3,1,1,1,1,2,2017,22017,D,D1,DU,0.02,Tul0817,822.13,349.5,0,320.8,1.8,351.3,318.55,669.8,7.462212534,20.16683806,4,1074,18842000,Tul0817,D,U,C,32,100,Wheeler #2,,12535,0,0,Tule Creek,0,0,0,0,0,0,0
Alder Creek_2017,7/17/17,2017,UCSB,34.4831,-119.4954,W,U,P,0.46,10.4,1,1.74,0.27,0.1,0.02,0.08,0.04,0.07,0.01,0.01218,93.85,1.77,-5.58,0.31,675,8.5,793,3.5,8.26,0.09,8.04,0.23,8.27,7.81,17.9,0.3,18.2,17.6,32.4,NA,4.34,0,24.492,NA,3.3,1.66,0.661,0.348,2.518,1.534,0.9385,7.71,0.098,8.29,6.39,18.1,0.02,21,14.7,7/17/17 13:30,9/4/17 0:00,48,,,NA,0.167307692,Alder Creek,19.37,12.52,1.5,2.086666667,0.25,0.5,1.5,32.5,67.5,0.833333333,18,5.833333333,0,1.666666667,0,1.666666667,2.833333333,1.666666667,2,7,6,3,0,0,0,0,18,P,,Ald0717,3.54,2.91,3.07,2,1,1,1,1,2,2017,22017,W,W1,WU,0.07,Ald0717,5504.52,107.5,43,0,344.1,451.6,3934.62,4386.2,5.238357556,17.76215599,1.7,678,5203300,Ald0717,W,U,C,53,44.16,Coyote ,,5366,0,0,Alder Creek,0,0,0,0,0,0,0
Bear Creek_2017,8/23/17,2017,UCSB,34.5295,-119.8652,W,U,A,0.89,17,3,1.9,0.35,0.17,0.01,0.17,0.06,0.02,0.01,0.00646,95.45,0.94,-5.25,0.28,917,20.5,1087,23.5,7.38,0.02,5.39,0.94,6.33,4.45,16.75,0.05,16.8,16.7,13.8,NA,0,1.94,11.496,NA,1.94,0.46,0.523,0.321,2.42,1.685,0.9545,7.06,1.396,8.59,4.27,18,0.03,19.3,16.9,8/23/17 13:30,8/28/17 0:00,4,,,NA,0.111764706,Bear Creek,9.8,9.45,1.4,2.3625,0.35,0.85,1.5,19.5,80.5,1.25,8.75,7,0,1.25,0,1.25,0,0,0,0,0,0,0,0,0,0,0,A,,Bea0817,3.39,2.64,2.3,2,1,1,1,1,2,2017,22017,W,W1,WU,0.02,Bea0817,3105.65,155.9,16.1,139.8,32.3,188.2,1761.56,1949.7,5.853440665,19.43978311,1.7,332,4283900,Bea0817,W,U,C,0.12,22.28,Whittier,806.5,0,22,0,Bear Creek,23.7,19.9,0,20.9,23.1,0.2,24.3
Cachuma Creek_2017,7/25/17,2017,UCSB,34.6956,-119.9105,W,U,A,0.53,9.7,3,2.14,0.23,0.14,0.03,0.07,0.03,0.01,0,0.002996,91.09,2.37,-4.35,0.33,1487,54,1686,59,8.55,0.31,6.19,0.26,6.45,5.93,18.9,0.1,19,18.8,19.1,NA,0,14.57,53.132,NA,6.33,3.23,0.622,0.374,2.21,1.208,0.9109,7.93,0.079,8.15,7.75,19.9,0.04,25.7,14.1,8/1/17 13:00,9/5/17 0:00,34,,,NA,0.220618557,Cachuma Creek,8.2,9.35,1.35,2.3375,0.3375,0.65,0,8.5,91.5,1.25,1.75,4.25,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,A,,Cac0717,3.94,3.03,2.95,2,1,1,1,1,2,2017,22017,W,W1,WU,0.01,Cac0817,10666.67,301.1,0,301.1,21.5,322.6,2817.2,3139.8,6.203629032,19.41649215,1.7,632,8946600,Cac0717,W,U,C,40,53.88,Cachuma,,600,0,0,Cachuma Creek,0,0,0,0,0,0,0
Fox Creek_2017,7/18/17,2017,UCSB,34.4837,-119.528,W,U,P,0.64,8.5,1,2.22,0.27,0.12,0.02,0.12,0.05,0.11,0.02,0.029304,93.58,1.75,-6.05,0.21,464,0.05,541,1.05,8.23,0.19,8.15,0.13,8.28,8.02,17.5,0.1,17.6,17.4,22.8,NA,0,0.89,10.869,NA,4.66,0.86,2.383,0.916,5.63,2.223,0.9358,8.14,0.044,8.45,6.8,18,0.02,20.6,14.9,7/18/17 12:00,9/5/17 0:00,49,,,NA,0.261176471,Fox Creek,55.95,29.2,5.34,1.622222222,0.296666667,0.77,1.5,32.72222222,67.27777778,3.055555556,13.61111111,9.388888889,0.555555556,5,0,0,1.111111111,0,45,35,9,1,3,0,0,0,93,P,,Fox0717,2.97,2.76,3.05,2,1,1,1,1,2,2017,22017,W,W1,WU,0.11,Fox0717,2644.68,177.4,48.4,0,69.9,247.3,1236.08,1483.4,5.07165945,18.14103022,6.3,587,2401800,Fox0717,W,U,C,53,73.47,Coyote ,,5260,0,0,Fox Creek,0,0,0,0,0,0,0
Indian_2017,9/14/17,2017,BT,34.659859,-119.640347,W,B,A,0.9,3.4,1,3.15,0.43,0.12,0.01,0.05,0.01,0.15,0.04,0.0567,52.05,3.34,-4.26,0.36,919.5,6.5,n/a,n/a,8.34,0.01,6.01,0.12,8.08,0.44,17.84,0.78,20.8,13.9,0.98,0.7,11.95,1.71,4.88,1.53,17.53,2.98,1.39,0.23,9.72,2.48,0.520499109,6.01,0.12,8.08,0.44,14.62,0.03,21.24,9.14,9/12/17,9/14/17,3,9/12/17,10/10/17,29,0.938311688,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,A,unable to locate site in PSMFC data,Ind0917,3.99,3.28,3.52,2,2,2,2,1,3,2017,32017,W,W2,WB,0.15,Ind0917,14887.35,1196.9,55,1057.5,0,1196.9,11014.38,12211.3,6.300558645,20.15546889,4.26,1121,88424800,Ind0917,W,B,B,10,100,Zaca,0,0,100,94,Indian Upper,100,91.7,93.6,91.5,95.7,98.1,95.5
Lion Canyon Creek_2017,8/10/17,2017,UCSB,34.7056,-119.922,W,U,A,0.73,13.3,2.9,1.52,0.17,0.16,0.04,0.18,0.04,0.04,0.01,0.009728,91.53,0.97,-2.81,0.32,1108,4,1321,0.5,8.37,0.13,7.34,0.32,7.66,7.02,16.6,0.2,16.8,16.4,46.6,NA,5.88,15.81,3.106,NA,4.18,1.47,0.807,0.298,4.631,2.252,0.9153,7.59,0.137,8.15,6.11,18.1,0.03,21.1,14.7,8/10/17 12:00,9/5/17 0:00,26,,,NA,0.114285714,Lion Canyon Creek,23.85,19.93,2.59,2.49125,0.32375,0.75,1.25,27.5,72.5,6.25,5,8.75,0.625,2.5,0,0,0,4.375,0,0,0,0,0,0,0,0,0,A,,Lca0817,3.07,2.83,2.38,2,1,1,1,1,2,2017,22017,W,W1,WU,0.04,Lca0817,2095.7,37.6,0,26.9,0,37.6,918.28,955.9,5.624217547,18.4683362,9,725,3500300,Lca0817,W,U,C,40,45.39,Cachuma,,3564,0,0,Lion Canyon Creek,0,0,0,0,0,0,0
Lion Creek_2017,4/28/17,2017,UCSB,34.5424,-119.163,W,U,P,1,14.5,1,15.15,0.43,0.28,0.04,0.08,0.01,0.08,0.02,0.33936,91.08,0.64,-5.18,0.22,423.4,6.4,536.7,0.05,7.91,0.06,8.6,1.805,10.4,6.79,13.95,0.65,14.6,13.3,2.6,NA,0,0,1.075,NA,2,0.9,0.736,0.27,3.559,2.358,0.9108,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,,,NA,1.044827586,Lion Creek,53.7,20.6,2.62,3.433333333,0.436666667,0.8,NA,45.83333333,54.16666667,6.666666667,38.33333333,0,4.166666667,0,6.666666667,0,0,0,49,19,7,1,1,0,0,0,77,P,,Lio0417,2.25,2.51,2.52,3,1,1,1,1,1,2017,12017,W,W1,WU,0.08,Lio0417,831.54,138,136.2,0,10.8,148.7,247.31,396.1,4.963362069,16.77365439,1.1,959,23556500,Lio0417,W,U,C,85,100,Matilija,,26280,0,0,Lion Creek,0,0,0,0,0,0,0
Manzana Narrows_2017,5/18/17,2017,BT,34.737254,-119.870379,W,B,P,1.3,6.4,1,3.46,0.36,0.19,0.03,0.02,0.01,0.44,0.09,0.289256,81.91,2.16,-8.54,0.28,522,1,n/a,n/a,8.68,0.04,8.88,0.01,9.03,8.34,14.7,0.8,15,14.4,0.81,0.56,BMDL,1.71,6.11,1.36,35.02,25.01,0.82,0.37,0.51,0.21,0.819073084,8.88,0.01,9.03,8.34,16.44,0.02,21.99,10.32,5/18/17,5/18/17,1,5/18/17,12/1/17,198,0.543741972,Manzana Narrows,53.6448,28.6512,3.26136,2.86512,0.326136,1.188661993,NA,32.5,67.5,NA,57.5,4,0,4.5,7.5,0,16.5,7.5,0,36,0,9,3,2,0,0,50,P,Can't assing survey reach length due to large surveyed area,MNa0517,2.81,2.34,2.95,1,2,2,2,1,1,2017,12017,W,W2,WB,0.44,MNa0517,1749.27,473.6,470.9,0,183,656.6,583.94,1240.5,4.640174435,16.87147725,3.97,913,20438300,MNa0517,W,B,B,10,81.7,Zaca,0,0,82,35,Manzana Narrows,81.7,53.4,34.9,54.4,68.1,60.9,68.5
Matilija Creek_2017,7/25/17,2017,UCSB,34.5315,-119.4026,W,U,P,0.38,12,1,2.88,0.33,0.22,0.03,0,0,0.11,0.01,0.069696,66.58,5.87,-8.24,0.27,1050,3.5,1098,3,8.28,0.11,7.33,0.02,7.35,7.31,22.7,0.3,23,22.4,25.3,NA,0,1.16,29.611,NA,2.92,0.97,0.363,0.081,0.391,0.19,0.6658,NA,NA,NA,NA,22.1,0.03,25.5,18.5,7/25/17 13:00,9/6/17 0:00,42,,,NA,0.24,Matilija Creek,19.65,10.6,1.17,3.533333333,0.39,0.82,1,16,84,0,6.666666667,0,0,1.666666667,0,6,0,1.666666667,0,0,0,2,0,0,0,0,2,P,,Mat0717,3.47,3.1,2.98,4,1,1,1,1,2,2017,22017,W,W1,WU,0.11,Mat0717,5189.78,698.9,0,397.8,0,698.9,2275.81,2974.7,6.380814255,19.65058726,4,742,47161800,Mat0717,W,U,C,32,100,Wheeler #2,,1,0,0,Matilija Creek,0,0,0,0,0,0,0
